Cluster Composition,Cluster Ancestor,Representative sequence,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
1 member(s) 1 organism(s),a-proteobacteria,MAG: hypothetical protein COB54_06730 [Alphaproteobacteria bacterium],51.6,51.6,63%,3e-04,26.45,234,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PCI32436.1?report=genbank&log$=prottop&blast_rank=169&RID=AVF030C7015"",""PCI32436.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],52.0,52.0,87%,3e-04,29.48,258,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDB6088119.1?report=genbank&log$=prottop&blast_rank=170&RID=AVF030C7015"",""MDB6088119.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis italica],51.6,51.6,51%,3e-04,33.00,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_167922195.1?report=genbank&log$=prottop&blast_rank=171&RID=AVF030C7015"",""WP_167922195.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],51.6,51.6,71%,3e-04,32.85,247,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBX5461617.1?report=genbank&log$=prottop&blast_rank=172&RID=AVF030C7015"",""MBX5461617.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],51.6,51.6,85%,3e-04,32.70,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_137892484.1?report=genbank&log$=prottop&blast_rank=173&RID=AVF030C7015"",""WP_137892484.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Granulicella sp. L60],52.4,52.4,63%,4e-04,29.84,802,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_158792084.1?report=genbank&log$=prottop&blast_rank=174&RID=AVF030C7015"",""WP_158792084.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],50.4,50.4,31%,4e-04,41.38,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEV2398791.1?report=genbank&log$=prottop&blast_rank=175&RID=AVF030C7015"",""HEV2398791.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriaceae bacterium],50.4,50.4,38%,4e-04,30.93,150,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGE5113215.1?report=genbank&log$=prottop&blast_rank=176&RID=AVF030C7015"",""MGE5113215.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],51.6,51.6,45%,4e-04,33.33,226,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_332817680.1?report=genbank&log$=prottop&blast_rank=177&RID=AVF030C7015"",""WP_332817680.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],51.6,51.6,32%,4e-04,43.33,240,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HXR89205.1?report=genbank&log$=prottop&blast_rank=178&RID=AVF030C7015"",""HXR89205.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Pelagerythrobacter aerophilus],51.2,51.2,91%,4e-04,27.27,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_119511831.1?report=genbank&log$=prottop&blast_rank=179&RID=AVF030C7015"",""WP_119511831.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Novosphingobium sp. P6W],51.2,51.2,43%,4e-04,38.27,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_043971921.1?report=genbank&log$=prottop&blast_rank=180&RID=AVF030C7015"",""WP_043971921.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],50.8,50.8,85%,4e-04,31.45,189,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_374394887.1?report=genbank&log$=prottop&blast_rank=181&RID=AVF030C7015"",""WP_374394887.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Porphyrobacter sp. ULC335],51.2,51.2,92%,4e-04,26.56,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264393693.1?report=genbank&log$=prottop&blast_rank=182&RID=AVF030C7015"",""WP_264393693.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacter denitrificans],51.6,51.6,44%,4e-04,33.73,292,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_066921591.1?report=genbank&log$=prottop&blast_rank=183&RID=AVF030C7015"",""WP_066921591.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobia bacterium],49.7,49.7,33%,4e-04,38.71,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGA2606606.1?report=genbank&log$=prottop&blast_rank=184&RID=AVF030C7015"",""MGA2606606.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MAG: lasso peptide biosynthesis B2 protein [Rhodanobacter denitrificans],52.0,52.0,91%,4e-04,26.79,365,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PZQ09378.1?report=genbank&log$=prottop&blast_rank=185&RID=AVF030C7015"",""PZQ09378.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Govanella unica],51.6,51.6,71%,4e-04,29.71,270,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_429913143.1?report=genbank&log$=prottop&blast_rank=186&RID=AVF030C7015"",""WP_429913143.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],50.4,50.4,52%,4e-04,33.00,166,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFL6603958.1?report=genbank&log$=prottop&blast_rank=187&RID=AVF030C7015"",""MFL6603958.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas granuli],51.2,51.2,32%,4e-04,42.62,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144893425.1?report=genbank&log$=prottop&blast_rank=188&RID=AVF030C7015"",""WP_144893425.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacter segnis],50.8,50.8,30%,5e-04,43.86,210,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_304275885.1?report=genbank&log$=prottop&blast_rank=189&RID=AVF030C7015"",""WP_304275885.1"")"
4 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp.],51.2,51.2,91%,5e-04,28.85,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_294017751.1?report=genbank&log$=prottop&blast_rank=190&RID=AVF030C7015"",""WP_294017751.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Allosphingosinicella sp.],51.2,51.2,49%,5e-04,35.42,229,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MET1110499.1?report=genbank&log$=prottop&blast_rank=191&RID=AVF030C7015"",""MET1110499.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingopyxis],50.8,50.8,31%,5e-04,37.29,219,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_095388863.1?report=genbank&log$=prottop&blast_rank=192&RID=AVF030C7015"",""WP_095388863.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],49.3,49.3,28%,5e-04,43.40,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB7281327.1?report=genbank&log$=prottop&blast_rank=193&RID=AVF030C7015"",""MGB7281327.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter sp. OK091],50.8,50.8,58%,6e-04,28.70,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_072762587.1?report=genbank&log$=prottop&blast_rank=194&RID=AVF030C7015"",""WP_072762587.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Blastomonas sp. CCH13-E1],50.8,50.8,45%,6e-04,34.48,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082734433.1?report=genbank&log$=prottop&blast_rank=195&RID=AVF030C7015"",""WP_082734433.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Piscinibacter sakaiensis],50.8,50.8,46%,6e-04,38.89,232,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082367886.1?report=genbank&log$=prottop&blast_rank=196&RID=AVF030C7015"",""WP_082367886.1"")"
5 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Pseudoxanthomonas winnipegensis],50.8,50.8,58%,6e-04,28.70,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_130535957.1?report=genbank&log$=prottop&blast_rank=197&RID=AVF030C7015"",""WP_130535957.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas viscosa],50.8,50.8,37%,6e-04,40.54,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_149102721.1?report=genbank&log$=prottop&blast_rank=198&RID=AVF030C7015"",""WP_149102721.1"")"
3 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Rhodanobacter thiooxydans],50.8,50.8,30%,6e-04,44.64,221,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039953934.1?report=genbank&log$=prottop&blast_rank=199&RID=AVF030C7015"",""WP_039953934.1"")"
2 member(s) 2 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Sphingobium],50.8,50.8,58%,6e-04,28.18,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_286867888.1?report=genbank&log$=prottop&blast_rank=200&RID=AVF030C7015"",""WP_286867888.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],49.3,49.3,31%,6e-04,41.38,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFZ0523537.1?report=genbank&log$=prottop&blast_rank=201&RID=AVF030C7015"",""MFZ0523537.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],50.8,50.8,56%,6e-04,30.91,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HKQ16270.1?report=genbank&log$=prottop&blast_rank=202&RID=AVF030C7015"",""HKQ16270.1"")"
2 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Pelomonas sp. Root1444],50.8,50.8,63%,7e-04,33.60,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_157275339.1?report=genbank&log$=prottop&blast_rank=203&RID=AVF030C7015"",""WP_157275339.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas canadensis],50.8,50.8,68%,7e-04,30.00,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264946395.1?report=genbank&log$=prottop&blast_rank=204&RID=AVF030C7015"",""WP_264946395.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas parapaucimobilis],48.9,48.9,57%,7e-04,35.19,116,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_167334680.1?report=genbank&log$=prottop&blast_rank=205&RID=AVF030C7015"",""WP_167334680.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],48.1,48.1,39%,7e-04,36.99,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_435568853.1?report=genbank&log$=prottop&blast_rank=206&RID=AVF030C7015"",""WP_435568853.1"")"
2 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],49.3,49.3,31%,7e-04,41.38,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFY9529162.1?report=genbank&log$=prottop&blast_rank=207&RID=AVF030C7015"",""MFY9529162.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas saliphila],50.8,50.8,53%,7e-04,37.04,224,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_202845049.1?report=genbank&log$=prottop&blast_rank=208&RID=AVF030C7015"",""WP_202845049.1"")"
1 member(s) 1 organism(s),proteobacteria,lasso peptide biosynthesis B2 protein [Pseudomonadota bacterium],50.8,50.8,38%,7e-04,36.62,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDP9009053.1?report=genbank&log$=prottop&blast_rank=209&RID=AVF030C7015"",""MDP9009053.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],49.3,49.3,55%,7e-04,32.04,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HXM12135.1?report=genbank&log$=prottop&blast_rank=210&RID=AVF030C7015"",""HXM12135.1"")"
2 member(s) 2 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Steroidobacteraceae bacterium],50.8,50.8,41%,7e-04,35.37,239,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HWM69022.1?report=genbank&log$=prottop&blast_rank=211&RID=AVF030C7015"",""HWM69022.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Terricaulis sp.],50.4,50.4,95%,7e-04,28.50,207,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MEQ1808527.1?report=genbank&log$=prottop&blast_rank=212&RID=AVF030C7015"",""MEQ1808527.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. SDU101],50.8,50.8,71%,7e-04,31.97,227,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_434932641.1?report=genbank&log$=prottop&blast_rank=213&RID=AVF030C7015"",""WP_434932641.1"")"
1 member(s) 1 organism(s),g-proteobacteria,hypothetical protein [Gammaproteobacteria bacterium],50.8,50.8,56%,8e-04,33.93,246,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDB6044026.1?report=genbank&log$=prottop&blast_rank=214&RID=AVF030C7015"",""MDB6044026.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MAG: lasso peptide biosynthesis B2 protein [Sphingobium sp.],50.4,50.4,90%,8e-04,27.86,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PZU68657.1?report=genbank&log$=prottop&blast_rank=215&RID=AVF030C7015"",""PZU68657.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Acidobacteriota bacterium],48.9,48.9,31%,8e-04,41.38,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MCI0724318.1?report=genbank&log$=prottop&blast_rank=216&RID=AVF030C7015"",""MCI0724318.1"")"
2 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],48.9,48.9,33%,8e-04,38.71,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB7472249.1?report=genbank&log$=prottop&blast_rank=217&RID=AVF030C7015"",""MGB7472249.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Gemmatimonadaceae bacterium],49.3,49.3,30%,8e-04,43.86,134,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFL5608840.1?report=genbank&log$=prottop&blast_rank=218&RID=AVF030C7015"",""MFL5608840.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrum sp.],48.9,48.9,57%,8e-04,33.03,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB2590692.1?report=genbank&log$=prottop&blast_rank=219&RID=AVF030C7015"",""MGB2590692.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. 15-1],50.1,50.1,47%,8e-04,31.82,196,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_176597209.1?report=genbank&log$=prottop&blast_rank=220&RID=AVF030C7015"",""WP_176597209.1"")"
2 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. AntQ-1],50.1,50.1,89%,9e-04,28.24,188,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_272800104.1?report=genbank&log$=prottop&blast_rank=221&RID=AVF030C7015"",""WP_272800104.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacter hibisci],50.4,50.4,91%,9e-04,30.00,220,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_198576140.1?report=genbank&log$=prottop&blast_rank=222&RID=AVF030C7015"",""WP_198576140.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Sulfotelmatobacter sp.],48.9,48.9,31%,9e-04,41.38,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGC2370728.1?report=genbank&log$=prottop&blast_rank=223&RID=AVF030C7015"",""MGC2370728.1"")"
3 member(s) 3 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Qipengyuania pacifica],50.1,50.1,98%,9e-04,26.70,205,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_222828547.1?report=genbank&log$=prottop&blast_rank=224&RID=AVF030C7015"",""WP_222828547.1"")"
1 member(s) 1 organism(s),g-proteobacteria,lasso peptide biosynthesis B2 protein [Luteimonas sp. YGD11-2],50.4,50.4,31%,9e-04,39.66,223,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_129136901.1?report=genbank&log$=prottop&blast_rank=225&RID=AVF030C7015"",""WP_129136901.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas sp. ASV193],50.4,50.4,30%,9e-04,43.86,218,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_349808037.1?report=genbank&log$=prottop&blast_rank=226&RID=AVF030C7015"",""WP_349808037.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Terriglobales bacterium],48.9,48.9,31%,9e-04,39.66,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGB9072380.1?report=genbank&log$=prottop&blast_rank=227&RID=AVF030C7015"",""MGB9072380.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],48.5,48.5,60%,9e-04,28.95,115,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBK6413889.1?report=genbank&log$=prottop&blast_rank=228&RID=AVF030C7015"",""MBK6413889.1"")"
1 member(s) 1 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [Sphingopyxis],48.9,48.9,37%,0.001,36.23,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_202988352.1?report=genbank&log$=prottop&blast_rank=229&RID=AVF030C7015"",""WP_202988352.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],48.9,48.9,31%,0.001,41.38,125,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MFZ0881764.1?report=genbank&log$=prottop&blast_rank=230&RID=AVF030C7015"",""MFZ0881764.1"")"
2 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingomonas baiyangensis],50.1,50.1,61%,0.001,32.17,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_136943426.1?report=genbank&log$=prottop&blast_rank=231&RID=AVF030C7015"",""WP_136943426.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Symbiobacteriaceae bacterium],48.9,48.9,51%,0.001,29.47,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HLO01935.1?report=genbank&log$=prottop&blast_rank=232&RID=AVF030C7015"",""HLO01935.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Caulobacter flavus],50.4,50.4,40%,0.001,36.84,233,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_101715509.1?report=genbank&log$=prottop&blast_rank=233&RID=AVF030C7015"",""WP_101715509.1"")"
2 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Silvibacterium bohemicum],51.2,51.2,62%,0.001,30.58,802,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_082125395.1?report=genbank&log$=prottop&blast_rank=234&RID=AVF030C7015"",""WP_082125395.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Bryobacteraceae bacterium],48.9,48.9,31%,0.001,40.68,140,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGH9722208.1?report=genbank&log$=prottop&blast_rank=235&RID=AVF030C7015"",""MGH9722208.1"")"
3 member(s) 3 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. 10 DY56-G10],50.1,50.1,60%,0.001,28.32,198,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_371388695.1?report=genbank&log$=prottop&blast_rank=236&RID=AVF030C7015"",""WP_371388695.1"")"
1 member(s) 1 organism(s),a-proteobacteria,hypothetical protein BA950_04685 [Erythrobacter sp. SAORIC-644],50.1,50.1,91%,0.001,25.39,204,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PNQ77339.1?report=genbank&log$=prottop&blast_rank=237&RID=AVF030C7015"",""PNQ77339.1"")"
2 member(s) 2 organism(s),a-proteobacteria,MULTISPECIES: lasso peptide biosynthesis B2 protein [unclassified Novosphingobium],50.1,50.1,57%,0.001,32.43,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169473294.1?report=genbank&log$=prottop&blast_rank=238&RID=AVF030C7015"",""WP_169473294.1"")"
5 member(s) 2 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium yanoikuyae],49.7,49.7,56%,0.001,30.19,187,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_375188513.1?report=genbank&log$=prottop&blast_rank=239&RID=AVF030C7015"",""WP_375188513.1"")"
1 member(s) 1 organism(s),actinobacteria,lasso peptide biosynthesis B2 protein [Thermoleophilaceae bacterium],50.1,50.1,59%,0.001,31.58,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX8065972.1?report=genbank&log$=prottop&blast_rank=240&RID=AVF030C7015"",""HEX8065972.1"")"
1 member(s) 1 organism(s),g-proteobacteria,MAG: hypothetical protein ABT19_02685 [Rhodanobacter sp. SCN 68-63],50.1,50.1,30%,0.001,44.64,225,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/ODV26704.1?report=genbank&log$=prottop&blast_rank=241&RID=AVF030C7015"",""ODV26704.1"")"
1 member(s) 1 organism(s),firmicutes,lasso peptide biosynthesis B2 protein [Bacillus sp. 'calajunan'],48.1,48.1,31%,0.001,33.90,113,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGK0536945.1?report=genbank&log$=prottop&blast_rank=242&RID=AVF030C7015"",""MGK0536945.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp.],50.1,50.1,55%,0.001,33.65,217,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBA4770743.1?report=genbank&log$=prottop&blast_rank=243&RID=AVF030C7015"",""MBA4770743.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobiaceae bacterium],48.5,48.5,49%,0.001,32.61,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HET6764919.1?report=genbank&log$=prottop&blast_rank=244&RID=AVF030C7015"",""HET6764919.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Candidatus Acidiferrales bacterium],48.5,48.5,28%,0.001,43.40,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MGD0963290.1?report=genbank&log$=prottop&blast_rank=245&RID=AVF030C7015"",""MGD0963290.1"")"
1 member(s) 1 organism(s),b-proteobacteria,lasso peptide biosynthesis B2 protein [Rubrivivax sp.],50.1,50.1,70%,0.001,29.22,244,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MDP3082851.1?report=genbank&log$=prottop&blast_rank=246&RID=AVF030C7015"",""MDP3082851.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Qipengyuania algicida],49.7,49.7,91%,0.001,26.32,200,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_160752621.1?report=genbank&log$=prottop&blast_rank=247&RID=AVF030C7015"",""WP_160752621.1"")"
1 member(s) 1 organism(s),b-proteobacteria,hypothetical protein ASC95_25910 [Pelomonas sp. Root1217],49.7,49.7,30%,0.001,45.61,213,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KQV46952.1?report=genbank&log$=prottop&blast_rank=248&RID=AVF030C7015"",""KQV46952.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Agrobacterium sp. SORGH_AS 787],48.5,48.5,57%,0.001,30.91,135,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_349043204.1?report=genbank&log$=prottop&blast_rank=249&RID=AVF030C7015"",""WP_349043204.1"")"
1 member(s) 1 organism(s),bacteria,lasso peptide biosynthesis B2 protein [Longimicrobiaceae bacterium],48.5,48.5,39%,0.001,37.84,131,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HEX2091259.1?report=genbank&log$=prottop&blast_rank=250&RID=AVF030C7015"",""HEX2091259.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Phenylobacterium sp.],49.7,49.7,54%,0.001,32.04,215,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_409632138.1?report=genbank&log$=prottop&blast_rank=251&RID=AVF030C7015"",""WP_409632138.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingobium sp. B11D3B],49.7,49.7,96%,0.001,23.92,216,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_264610574.1?report=genbank&log$=prottop&blast_rank=252&RID=AVF030C7015"",""WP_264610574.1"")"
1 member(s) 1 organism(s),a-proteobacteria,lasso peptide biosynthesis B2 protein [Sphingopyxis sp.],48.5,48.5,56%,0.001,32.41,133,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_293970581.1?report=genbank&log$=prottop&blast_rank=253&RID=AVF030C7015"",""WP_293970581.1"")"
